Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,Daily_Return,Cumulative_Return,Volatility_30,Daily_Range,Year,Month,Month_Name,Quarter,Day_of_Week,Week_Number,Trend,RSI_Signal,MACD_Signal_Flag
2020-03-18,8468.7998046875,9127.5498046875,8407.0498046875,9088.4501953125,1516600,10868.702587890624,11631.75302734375,,10526.189915407069,11308.74435866467,10868.702587890624,1100.4946278624711,13069.691843615567,8667.713332165682,4401.9785114498845,12.943332178060544,-766.9671671383567,-502.42737502879993,-264.53979210955674,-5.556454027271506,0.6951610756977225,2.6819598888447307,720.5,2020,3,March,1,Wednesday,12,Downtrend,Oversold,Bearish
2020-03-19,8263.4501953125,8575.4501953125,7832.5498046875,8063.2998046875,925700,10682.25009765625,11555.96302734375,,10310.690894445683,11189.321058141057,10682.25009765625,1210.4763933089653,13103.20288427418,8261.29731103832,4841.905573235861,12.48176671308525,-849.5099190123728,-571.8438838255146,-277.66603518685827,-2.4247781753128472,0.678304961650934,2.61615998596695,742.900390625,2020,3,March,1,Thursday,12,Downtrend,Oversold,Bearish
2020-03-20,8745.4501953125,8883.0,8178.2001953125,8284.4501953125,1071500,10513.227587890626,11490.3650390625,,10161.620351671094,11093.482985088956,10513.227587890626,1234.0669689579445,12981.361525806515,8045.093649974737,4936.267875831778,22.956575928098985,-866.0489990388833,-630.6849068681884,-235.3640921706949,5.832914685846569,0.7178699113738973,2.8925111659237586,704.7998046875,2020,3,March,1,Friday,12,Downtrend,Oversold,Bearish
2020-03-23,7610.25,8159.25,7583.60009765625,7945.7001953125,653500,10289.697607421875,11398.25203125,,9918.632699130989,10956.885613124683,10289.697607421875,1335.8622569981812,12961.422121418236,7617.973093425512,5343.449027992724,18.591730460650666,-959.6947439958203,-696.4868742937148,-263.20786970210554,-12.980466070471241,0.6246870510978866,3.6072851184907777,575.64990234375,2020,3,March,1,Monday,13,Downtrend,Oversold,Bearish
2020-03-24,7801.0498046875,8036.9501953125,7511.10009765625,7848.2998046875,738400,10088.280078125,11309.13703125,,9716.958137755419,10833.127346127147,10088.280078125,1393.9216588094414,12876.123395743884,7300.436760506118,5575.686635237766,18.884651837836316,-1006.9067279158335,-758.5708450181385,-248.335882897695,2.507142402516349,0.6403488450389907,3.674944509685248,525.85009765625,2020,3,March,1,Tuesday,13,Downtrend,Oversold,Bearish
2020-03-25,8317.849609375,8376.75,7714.75,7735.14990234375,736900,9914.2775390625,11228.90302734375,,9583.709706481093,10734.489003509416,9914.2775390625,1386.465004907407,12687.207548877313,7141.347529247685,5545.860019629628,25.927592975693443,-991.1952582152353,-805.0957276575579,-186.09953055767744,6.624746894667499,0.6827703352657505,3.953959183040797,662.0,2020,3,March,1,Wednesday,13,Downtrend,Oversold,Bearish
2020-03-26,8641.4501953125,8749.0498046875,8304.900390625,8451.0,865600,9762.425048828125,11154.48603515625,,9493.970705417418,10652.409050246792,9762.425048828125,1348.8756324852802,12460.176313798685,7064.673783857565,5395.502529941121,29.465690381486624,-941.7757379680115,-832.4317297196486,-109.34400824836291,3.8904356430389475,0.7093330757490257,4.0480350570450945,444.1494140625,2020,3,March,1,Thursday,13,Downtrend,Oversold,Bearish
2020-03-27,8660.25,9038.900390625,8522.900390625,8949.099609375,801500,9613.77255859375,11080.8250390625,,9414.568733472901,10574.285165923387,9613.77255859375,1294.5739025768592,12202.920363747467,7024.624753440032,5178.295610307436,31.02391871547951,-890.8245540617208,-844.1102945880631,-46.71425947365776,0.21755381634551707,0.7108762569259187,4.040777114231977,516.0,2020,3,March,1,Friday,13,Downtrend,Neutral,Bearish
2020-03-30,8281.099609375,8576.0,8244.0,8385.9501953125,593300,9467.7400390625,10999.33703125,,9306.619293082624,10484.356320568548,9467.7400390625,1270.5229983083816,12008.786035679264,6926.694042445737,5082.091993233527,31.848249322792483,-870.999303768338,-849.4880964241181,-21.511207344219883,-4.378053643081891,0.6797537130617693,4.082246467516982,332.0,2020,3,March,1,Monday,14,Downtrend,Neutral,Bearish
2020-03-31,8597.75,8678.2998046875,8358.0,8529.349609375,712700,9340.9900390625,10924.2450390625,,9239.107931836661,10410.371758977624,9340.9900390625,1221.165499008971,11783.321037080443,6898.659041044559,4884.661996035884,35.20487146690057,-820.2809220496674,-843.646661549228,23.36573949956062,3.8237722713360567,0.7057459470552025,4.182666333493705,320.2998046875,2020,3,March,1,Tuesday,14,Downtrend,Neutral,Bullish
2020-04-01,8253.7998046875,8588.099609375,8198.349609375,8584.099609375,506300,9188.5150390625,10844.8300390625,,9145.26906258436,10325.800309789778,9188.5150390625,1151.6580454736572,11491.831130009814,6885.198948115186,4606.632181894628,38.407283803797334,-798.63398987849,-834.6441272150805,36.01013733659056,-4.000467509668226,0.6775128097424589,4.215825156451368,389.75,2020,4,April,2,Wednesday,14,Downtrend,Neutral,Bullish
2020-04-03,8083.7998046875,8356.5498046875,8055.7998046875,8356.5498046875,697000,9030.155029296875,10763.10904296875,,9044.176752308469,10237.878721354395,9030.155029296875,1067.8311147142913,11165.817258725458,6894.492799868292,4271.324458857165,33.197155558673174,-786.1341542471855,-824.9421326215015,38.80797837431601,-2.0596574186770744,0.6635583668941109,4.216624545707577,300.75,2020,4,April,2,Friday,14,Downtrend,Neutral,Bullish
2020-04-07,8792.2001953125,8819.400390625,8360.9501953125,8446.2998046875,814200,8906.3150390625,10696.8150390625,,9020.178984975519,10181.185445823341,8906.3150390625,929.1329103846233,10764.580859831745,7048.049218293253,3716.5316415384923,46.329244050309946,-710.8714694805258,-802.1279999933064,91.25653051278061,8.763210467115034,0.7217073831571932,4.578262399647378,458.4501953125,2020,4,April,2,Tuesday,15,Downtrend,Neutral,Bullish
2020-04-08,8748.75,9131.7001953125,8653.900390625,8688.900390625,896500,8794.280029296875,10628.183046875,,8994.32860545404,10125.011506771445,8794.280029296875,789.2971267660797,10372.874282829034,7215.685775764716,3157.1885070643184,47.953081645065296,-647.2699916457586,-771.1563983237969,123.88640667803827,-0.4941902407507137,0.718140775702853,4.577771103220867,477.7998046875,2020,4,April,2,Wednesday,15,Downtrend,Neutral,Bullish
2020-04-09,9111.900390625,9128.349609375,8904.5498046875,8973.0498046875,742100,8727.3025390625,10565.4560546875,,9005.525918327465,10085.281659079428,8727.3025390625,692.1271248815275,10111.556788825555,7343.048289299446,2768.5084995261095,56.186869801919826,-561.0942158376547,-729.1439618265686,168.04974598891386,4.150883161880259,0.747949960240099,4.666000827852759,223.7998046875,2020,4,April,2,Thursday,15,Downtrend,Neutral,Bullish
2020-04-13,8993.849609375,9112.0498046875,8912.400390625,9103.9501953125,644000,8654.075,10502.953046875,,9004.41388890342,10042.480402228275,8654.075,565.1670131545883,9784.409026309177,7523.740973690824,2260.6680526183527,57.14676120652603,-496.6005026308776,-682.6352699874304,186.03476735655283,-1.295567073707915,0.7382597668274168,4.666037895365887,199.6494140625,2020,4,April,2,Monday,16,Downtrend,Neutral,Bullish
