Date,Close,High,Low,Open,Volume,Daily_Return,Daily_Range,Cumulative_Return,SMA_20,SMA_50
2021-09-14,17380.0,17438.55078125,17367.05078125,17420.349609375,230400,0.1423151293159064,71.5,1.4214849893251564,16959.5,16349.5330078125
2021-09-15,17519.44921875,17532.69921875,17386.900390625,17387.650390625,388200,0.802354538262362,145.798828125,1.432890338647725,17007.319921875,16385.47798828125
2021-09-16,17629.5,17644.599609375,17510.44921875,17539.19921875,503300,0.6281634763507293,134.150390625,1.4418912324112683,17058.06494140625,16421.38099609375
2021-09-17,17585.150390625,17792.94921875,17537.650390625,17709.650390625,508300,-0.2515647600612625,255.298828125,1.4382639421921084,17108.87998046875,16456.71900390625
2021-09-20,17396.900390625,17622.75,17361.80078125,17443.849609375,339100,-1.0705054879733056,260.94921875,1.4228672477594007,17156.2,16487.06400390625
2021-09-21,17562.0,17578.349609375,17326.099609375,17450.5,363600,0.949017386246398,252.25,1.436370505323843,17209.4775390625,16523.74599609375
2021-09-22,17546.650390625,17610.44921875,17524.0,17580.900390625,295200,-0.08740239935656202,86.44921875,1.43511508303854,17255.580078125,16560.8830078125
2021-09-23,17822.94921875,17843.900390625,17646.55078125,17670.849609375,320500,1.5746528367181822,197.349609375,1.4577131634037768,17314.99501953125,16603.49
2021-09-24,17853.19921875,17947.650390625,17819.400390625,17897.44921875,360100,0.16972499684944076,128.25,1.4601872670244378,17375.8099609375,16644.3069921875
2021-09-27,17855.099609375,17943.5,17802.900390625,17932.19921875,295700,0.010644538279747096,140.599609375,1.4603426972170321,17433.30498046875,16684.32998046875
2021-09-28,17748.599609375,17912.849609375,17576.099609375,17906.44921875,398000,-0.596468249015425,336.75,1.4516322167013171,17474.182421875,16720.81796875
2021-09-29,17711.30078125,17781.75,17608.150390625,17657.94921875,562200,-0.21015082285871234,173.599609375,1.4485815996530371,17503.1375,16756.5759765625
2021-09-30,17618.150390625,17742.150390625,17585.349609375,17718.900390625,378600,-0.5259376020738893,156.80078125,1.4409629643237383,17530.23251953125,16793.8909765625
2021-10-01,17532.05078125,17557.150390625,17452.900390625,17531.900390625,305800,-0.48869834497958786,104.25,1.4339210021653193,17545.1275390625,16831.89
2021-10-04,17691.25,17750.900390625,17581.349609375,17615.55078125,295800,0.9080467581137563,169.55078125,1.4469416753393938,17563.51005859375,16869.23400390625
2021-10-05,17822.30078125,17833.44921875,17640.900390625,17661.349609375,427000,0.7407660919946268,192.548828125,1.457660128641247,17585.73505859375,16908.5590234375
2021-10-06,17646.0,17884.599609375,17613.150390625,17861.5,395800,-0.9892144870289554,271.44921875,1.4432407434770829,17599.930078125,16944.99001953125
2021-10-07,17790.349609375,17857.55078125,17763.80078125,17810.55078125,419900,0.8180302016037588,93.75,1.455046888640576,17621.77255859375,16985.8680078125
2021-10-08,17895.19921875,17941.849609375,17840.349609375,17886.849609375,324100,0.5893622760496431,101.5,1.4636223861010578,17648.07001953125,17029.583984375
2021-10-11,17945.94921875,18041.94921875,17839.099609375,17867.55078125,375800,0.28359561343596074,202.849609375,1.467773154985307,17677.60244140625,17072.93396484375
2021-10-12,17991.94921875,18008.650390625,17864.94921875,17915.80078125,355600,0.25632525445875576,143.701171875,1.4715354282597004,17708.19990234375,17117.511953125
2021-10-13,18161.75,18197.80078125,18050.75,18097.849609375,506700,0.943759784921161,147.05078125,1.4854231878524828,17740.31494140625,17163.0439453125
2021-10-14,18338.55078125,18350.75,18248.69921875,18272.849609375,538700,0.9734787740718787,102.05078125,1.4998834672913686,17775.76748046875,17207.1999609375
2021-10-18,18477.05078125,18543.150390625,18445.30078125,18500.099609375,469900,0.7552396132719963,97.849609375,1.5112111813892706,17820.3625,17251.56498046875
